epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,4406.09,0.83301,0.48065,0.92746,0.96266,0.9727,0.97964,0.5212,1.7492,0.61685,1.29885,0.00016795,0.00016795,0.00016795
111,4444.98,0.77068,0.45108,0.90978,0.96643,0.95086,0.96213,0.51291,1.7103,0.62038,1.271,0.000154198,0.000154198,0.000154198
112,4484.22,0.78272,0.44234,0.90125,0.99692,0.96456,0.98615,0.50013,1.76174,0.61594,1.31328,0.000140445,0.000140445,0.000140445
113,4523.26,0.75624,0.43054,0.90887,0.98052,0.95089,0.98089,0.51444,1.71536,0.61455,1.27963,0.000126692,0.000126692,0.000126692
114,4562.32,0.73044,0.40638,0.88633,0.98541,0.94075,0.96419,0.51096,1.72414,0.63485,1.27429,0.000112939,0.000112939,0.000112939
115,4601.39,0.78762,0.43304,0.91372,0.99805,0.95229,0.97394,0.50674,1.76356,0.65514,1.30733,9.91865e-05,9.91865e-05,9.91865e-05
116,4640.58,0.7407,0.42327,0.89558,0.97204,0.92913,0.95523,0.50596,1.72743,0.62884,1.2829,8.54337e-05,8.54337e-05,8.54337e-05
117,4679.53,0.73944,0.41789,0.90401,0.9683,0.93987,0.95961,0.51547,1.71455,0.61396,1.27903,7.1681e-05,7.1681e-05,7.1681e-05
118,4718.68,0.7388,0.41112,0.89281,0.96741,0.94103,0.96109,0.52399,1.71284,0.60366,1.2707,5.79283e-05,5.79283e-05,5.79283e-05
119,4757.88,0.73025,0.40728,0.88513,0.96665,0.94103,0.96132,0.51514,1.72018,0.60446,1.27803,4.41755e-05,4.41755e-05,4.41755e-05
120,4796.89,0.70498,0.40275,0.89215,0.96682,0.94103,0.96145,0.51579,1.7263,0.60363,1.28376,3.04227e-05,3.04227e-05,3.04227e-05
